NOMBRE,POBLACION
Mendata,380
Mendexa,425
Meñaka,754
Morga,405
Mundaka,1845
Mungia,17665
Munitibar-Arbatzegi Gerrikaitz,473
Murueta,319
Muskiz,7536
Muxika,1468
Nabarniz,246
Ondarroa,8395
Orozko,2650
Ortuella,8385
Otxandio,1330
Plentzia,4353
Portugalete,45746
Santurtzi,46069
Sestao,27452
Sondika,4547
Sopela,14120
Sopuerta,2570
Sukarrieta,331
Trucios-Turtzioz,509
Ubide,164
Ugao-Miraballes,4148
Urduliz,4712
Urduña/Orduña,4192
Valle de Trapaga-Trapagaran,11975
Zaldibar,3045
Zalla,8450
Zamudio,3275
Zaratamo,1631
Zeanuri,1245
Zeberio,1095
Zierbena,1520
Ziortza-Bolibar,404
Abajas,31
Adrada de Haza,203
Aguas Candidas,56
Aguilar de Bureba,57
Albillos,210
Alcocero de Mola,32
Alfoz de Bricia,70
Alfoz de Quintanadueñas,2179
Alfoz de Santa Gadea,104
Altable,46
"Altos, Los",184
Ameyugo,113
Anguix,155
Aranda de Duero,33187
Arandilla,162
Arauzo de Miel,306
Arauzo de Salce,54
Arauzo de Torre,77
Arcos,1775
Arenillas de Riopisuerga,174
Arija,121
Arlanzon,407
Arraya de Oca,47
Atapuerca,166
"Ausines, Los",133
Avellanosa de Muño,106
Bahabon de Esgueva,79
"Balbases, Los",319
Baños de Valdearados,333
Bañuelos de Bureba,35
Barbadillo de Herreros,109
Barbadillo del Mercado,140
Barbadillo del Pez,63
Barrio de Muño,31
"Barrios de Bureba, Los",179
Barrios de Colina,55
Basconcillos del Tozo,295
Bascuñana,23
Belbimbre,57
Belorado,1780
Berberana,60
Berlangas de Roa,183
Berzosa de Bureba,29
Bozoo,97
Brazacorta,54
Briviesca,6582
Bugedo,187
Buniel,563
Burgos,176418
Busto de Bureba,133
Cabañes de Esgueva,160
Cabezon de la Sierra,40
Caleruega,420
Campillo de Aranda,179
Campolara,57
Canicosa de la Sierra,433
Cantabrana,25
Carazo,30
Carcedo de Bureba,40
Carcedo de Burgos,424
Cardeñadijo,1369
Cardeñajimeno,1136
Cardeñuela Riopico,115
Carrias,25
Cascajares de Bureba,30
Cascajares de la Sierra,33
Castellanos de Castro,50
Castil de Peones,25
Castildelgado,36
Castrillo de la Reina,176
Castrillo de la Vega,650
Castrillo de Riopisuerga,60
Castrillo del Val,793
Castrillo Mota de Judios,50
Castrojeriz,782
Cavia,238
Cayuela,183
Cebrecos,52
Celada del Camino,115
Cerezo de Rio Tiron,541
Cerraton de Juarros,55
Ciadoncha,80
Cillaperlata,31
Cilleruelo de Abajo,210
Cilleruelo de Arriba,47
Ciruelos de Cervera,97
Cogollos,570
Condado de Treviño,1363
Contreras,80
Coruña del Conde,107
Covarrubias,541
Cubillo del Campo,99
Cubo de Bureba,95
"Cueva de Roa, La",120
Cuevas de San Clemente,41
Encio,44
Espinosa de Cervera,91
Espinosa de los Monteros,1651
Espinosa del Camino,42
Estepar,596
Fontioso,57
Frandovinez,86
Fresneda de la Sierra Tiron,94
Fresneña,68
Fresnillo de las Dueñas,677
Fresno de Rio Tiron,184
Fresno de Rodilla,44
Frias,247
Fuentebureba,47
Fuentecen,217
Fuentelcesped,252
Fuentelisendo,92
Fuentemolinos,100
Fuentenebro,131
Fuentespina,785
Galbarros,30
"Gallega, La",45
Grijalba,112
Grisaleña,49
Gumiel de Izan,561
Gumiel de Mercado,359
Hacinas,144
Haza,30
Hontanas,74
Hontangas,87
Hontoria de la Cantera,145
Hontoria de Valdearados,175
Hontoria del Pinar,650
"Hormazas, Las",96
Hornillos del Camino,59
"Horra, La",335
Hortigüela,105
Hoyales de Roa,234
Huermeces,161
Huerta de Arriba,125
Huerta de Rey,901
Humada,118
Hurones,62
Ibeas de Juarros,1405
Ibrillos,39
Iglesiarrubia,39
Iglesias,143
Isar,287
Itero del Castillo,80
Jaramillo de la Fuente,42
Jaramillo Quemado,10
Junta de Traslaloma,128
Junta de Villalba de Losa,87
Jurisdiccion de Lara,31
Jurisdiccion de San Zadornil,57
Lerma,2537
Llano de Bureba,57
Madrigal del Monte,147
Madrigalejo del Monte,174
Mahamud,100
Mambrilla de Castrejon,104
Mambrillas de Lara,45
Mamolar,27
Manciles,20
Mazuela,55
Mecerreyes,193
Medina de Pomar,5734
Melgar de Fernamental,1548
Merindad de Cuesta-Urria,291
Merindad de Montija,707
Merindad de Rio Ubierna,1418
Merindad de Sotoscueva,396
Merindad de Valdeporres,412
Merindad de Valdivielso,380
Milagros,434
Miranda de Ebro,35760
Miraveche,70
Modubar de la Emparedada,710
Monasterio de la Sierra,43
Monasterio de Rodilla,165
Moncalvillo,81
Monterrubio de la Demanda,56
Montorio,142
Moradillo de Roa,171
Nava de Roa,220
Navas de Bureba,33
Nebreda,57
Neila,153
Olmedillo de Roa,191
Olmillos de Muño,37
Oña,1003
Oquillas,54
Orbaneja Riopico,339
Padilla de Abajo,80
Padilla de Arriba,79
Padrones de Bureba,46
Palacios de la Sierra,701
Palacios de Riopisuerga,24
Palazuelos de la Sierra,85
Palazuelos de Muño,50
Pampliega,298
Pancorbo,429
Pardilla,118
Partido de la Sierra en Tobalina,83
Pedrosa de Duero,500
Pedrosa de Rio urbel,248
Pedrosa del Paramo,89
Pedrosa del Principe,169
Peñaranda de Duero,516
Peral de Arlanza,172
Piernigas,48
Pineda de la Sierra,98
Pineda Trasmonte,121
Pinilla de los Barruecos,92
Pinilla de los Moros,37
Pinilla Trasmonte,168
Poza de la Sal,274
Pradanos de Bureba,52
Pradoluengo,1151
Presencio,184
"Puebla de Arganzon, La",502
Puentedura,109
Quemada,250
Quintana del Pidio,156
Quintanabureba,23
Quintanaelez,44
Quintanaortuño,261
Quintanapalla,110
Quintanar de la Sierra,1603
Quintanavides,74
Quintanilla de la Mata,110
Quintanilla del Agua y Tordueles,360
Quintanilla del Coco,54
Quintanilla San Garcia,79
Quintanilla Vivar,820
"Quintanillas, Las",362
Rabanera del Pinar,102
Rabanos,80
Rabe de las Calzadas,229
Rebolledo de la Torre,106
Redecilla del Camino,103
Redecilla del Campo,66
Regumiel de la Sierra,334
Reinoso,15
Retuerta,62
Revilla del Campo,100
Revilla Vallejera,104
"Revilla y Ahedo, La",100
Revillarruz,523
Rezmondo,21
Riocavado de la Sierra,55
Roa,2167
Rojas,63
Royuela de Rio Franco,174
Rubena,191
Rublacedo de Abajo,30
Rucandio,69
Salas de Bureba,131
Salas de los Infantes,1987
Saldaña de Burgos,180
Salinillas de Bureba,54
San Adrian de Juarros,85
San Juan del Monte,149
San Mames de Burgos,287
San Martin de Rubiales,150
San Millan de Lara,72
San Vicente del Valle,27
Santa Cecilia,98
Santa Cruz de la Salceda,140
Santa Cruz del Valle Urbion,99
Santa Gadea del Cid,153
Santa Ines,139
Santa Maria del Campo,517
Santa Maria del Invierno,63
Santa Maria del Mercadillo,101
Santa Maria Rivarredonda,92
Santa Olalla de Bureba,37
Santibañez de Esgueva,79
Santibañez del Val,47
Santo Domingo de Silos,273
Sargentes de la Lora,111
Sarracin,248
Sasamon,962
"Sequera de Haza, La",27
Solarana,77
Sordillos,33
Sotillo de la Ribera,475
Sotragero,273
Sotresgudo,432
Susinos del Paramo,116
Tamaron,44
Tardajos,783
Tejada,34
Terradillos de Esgueva,77
Tinieblas de la Sierra,34
Tobar,22
Tordomar,334
Torrecilla del Monte,72
Torregalindo,121
Torrelara,31
Torrepadre,70
Torresandino,604
Tortoles de Esgueva,433
Tosantos,52
Trespaderne,771
Tubilla del Agua,136
Tubilla del Lago,169
urbel del Castillo,72
Vadocondes,345
Valdeande,104
Valdezate,134
Valdorros,297
Vallarta de Bureba,40
Valle de las Navas,509
Valle de Losa,481
Valle de Manzanedo,122
Valle de Mena,3805
Valle de Oca,165
Valle de Santibañez,483
Valle de Sedano,421
Valle de Tobalina,909
Valle de Valdebezana,456
Valle de Valdelaguna,186
Valle de Valdelucio,330
Valle de Zamanzas,53
Vallejera,42
Valles de Palenzuela,79
Valluercanes,71
Valmala,25
"Vid de Bureba, La",31
"Vid y Barrios, La",250
Vileña,27
Villadiego,1500
Villaescusa de Roa,100
Villaescusa la Sombria,58
Villaespasa,27
Villafranca Montes de Oca,113
Villafruela,176
Villagalijo,61
Villagonzalo Pedernales,1859
Villahoz,287
Villalba de Duero,705
Villalbilla de Burgos,1423
Villalbilla de Gumiel,85
Villaldemiro,97
Villalmanzo,420
Villamayor de los Montes,165
Villamayor de Treviño,61
Villambistia,44
Villamedianilla,11
Villamiel de la Sierra,44
Villangomez,217
Villanueva de Argaño,114
Villanueva de Carazo,26
Villanueva de Gumiel,273
Villanueva de Teba,41
Villaquiran de la Puebla,46
Villaquiran de los Infantes,160
Villarcayo de Merindad de Castilla la Vieja,4011
Villariezo,645
Villasandino,180
Villasur de Herreros,264
Villatuelda,37
Villaverde del Monte,112
Villaverde-Mogina,74
Villayerno Morquillas,195
Villazopeque,53
Villegas,89
Villoruebo,72
Viloria de Rioja,39
Vilviestre del Pinar,516
Vizcainos,44
Zael,112
Zarzosa de Rio Pisuerga,34
Zazuar,210
Zuñeda,53
Abadia,336
Abertura,404
Acebo,557
Acehuche,802
Aceituna,600
Ahigal,1381
Alagon del Rio,932
Albala,669
Alcantara,1411
Alcollarin,282
Alcuescar,2554
Aldea del Cano,602
"Aldea del Obispo, La",298
Aldeacentenera,561
Aldeanueva de la Vera,2042
Aldeanueva del Camino,727
Aldehuela de Jerte,371
Alia,816
Aliseda,1777
Almaraz,1726
Almoharin,1811
Arroyo de la Luz,5766
Arroyomolinos,828
Arroyomolinos de la Vera,441
Baños de Montemayor,751
Barrado,387
Belvis de Monroy,733
Benquerencia,80
Berrocalejo,97
Berzocana,414
Bohonal de Ibor,481
Botija,171
Brozas,1804
Cabañas del Castillo,424
Cabezabellosa,340
Cabezuela del Valle,2129
Cabrero,328
Caceres,96255
Cachorrilla,87
Cadalso,426
Calzadilla,463
Caminomorisco,1181
Campillo de Deleitosa,75
Campo Lugar,814
Cañamero,1618
Cañaveral,1036
Carbajo,197
Carcaboso,1085
Carrascalejo,220
Casar de Caceres,4499
Casar de Palomero,1084
Casares de las Hurdes,400
Casas de Don Antonio,170
Casas de Don Gomez,283
Casas de Millan,550
Casas de Miravete,126
Casas del Castañar,552
Casas del Monte,811
Casatejada,1344
Casillas de Coria,345
Castañar de Ibor,1033
Ceclavin,1812
Cedillo,428
Cerezo,159
Cilleros,1602
Collado de la Vera,191
Conquista de la Sierra,185
Coria,12366
Cuacos de Yuste,851
"Cumbre, La",841
Deleitosa,687
Descargamaria,116
Eljas,901
Escurial,865
Fresnedoso de Ibor,262
Galisteo,916
Garciaz,699
Garganta la Olla,926
"Garganta, La",365
Gargantilla,376
Gargüera,164
Garrovillas de Alconetar,2004
Garvin,104
Gata,1417
"Gordo, El",360
"Granja, La",323
Guadalupe,1828
Guijo de Coria,196
Guijo de Galisteo,1507
Guijo de Granadilla,522
Guijo de Santa Barbara,378
Herguijuela,274
Hernan-Perez,424
Herrera de Alcantara,240
Herreruela,330
Hervas,3957
Higuera,110
Hinojal,404
Holguera,637
Hoyos,880
Huelaga,219
Ibahernando,538
Jaraicejo,456
Jaraiz de la Vera,6503
Jarandilla de la Vera,2805
Jarilla,138
Jerte,1260
Ladrillar,192
Logrosan,1971
Losar de la Vera,2717
Madrigal de la Vera,1561
Madrigalejo,1712
Madroñera,2496
Majadas,1322
Malpartida de Caceres,4076
Malpartida de Plasencia,4602
Marchagaz,203
Mata de Alcantara,301
Membrio,605
Mesas de Ibor,163
Miajadas,9527
Millanes,255
Mirabel,661
Mohedas de Granadilla,838
Monroy,938
Montanchez,1668
Montehermoso,5718
Moraleja,6696
Morcillo,358
Navaconcejo,2024
Navalmoral de la Mata,17163
Navalvillar de Ibor,388
Navas del Madroño,1280
Navezuelas,632
Nuñomoral,1252
Oliva de Plasencia,296
Palomero,396
Pasaron de la Vera,604
Pedroso de Acim,80
Peraleda de la Mata,1393
Peraleda de San Roman,300
Perales del Puerto,938
Pescueza,146
"Pesga, La",1018
Piedras Albas,141
Pinofranqueado,1692
Piornal,1483
Plasencia,39860
Plasenzuela,487
Portaje,370
Portezuelo,211
Pozuelo de Zarzon,454
Pueblonuevo de Miramontes,782
Puerto de Santa Cruz,304
Rebollar,215
Riolobos,1201
Robledillo de Gata,90
Robledillo de la Vera,258
Robledillo de Trujillo,360
Robledollano,294
Romangordo,263
Rosalejo,1334
Ruanes,80
Salorino,560
Salvatierra de Santiago,298
San Martin de Trevejo,766
Santa Ana,256
Santa Cruz de la Sierra,326
Santa Cruz de Paniagua,316
Santa Marta de Magasca,299
Santiago de Alcantara,507
Santiago del Campo,237
Santibañez el Alto,361
Santibañez el Bajo,741
Saucedilla,852
Segura de Toro,181
Serradilla,1507
Serrejon,410
Sierra de Fuentes,1998
Talavan,806
Talaveruela de la Vera,298
Talayuela,7395
Tejeda de Tietar,773
Tietar,879
Toril,153
Tornavacas,1098
"Torno, El",851
Torre de Don Miguel,484
Torre de Santa Maria,532
Torrecilla de los angeles,601
Torrecillas de la Tiesa,1070
Torrejon el Rubio,546
Torrejoncillo,2910
Torremenga,587
Torremocha,793
Torreorgaz,1656
Torrequemada,560
Trujillo,8912
Valdastillas,321
Valdecañas de Tajo,106
Valdefuentes,1139
Valdehuncar,171
Valdelacasa de Tajo,348
Valdemorales,202
Valdeobispo,644
Valencia de Alcantara,5373
Valverde de la Vera,465
Valverde del Fresno,2250
Vegaviana,868
Viandar de la Vera,219
Villa del Campo,478
Villa del Rey,133
Villamesias,259
Villamiel,400
Villanueva de la Sierra,441
Villanueva de la Vera,2062
Villar de Plasencia,233
Villar del Pedroso,582
Villasbuenas de Gata,376
Zarza de Granadilla,1800
Zarza de Montanchez,548
Zarza la Mayor,1199
Zorita,1332
Alcala de los Gazules,5226
Alcala del Valle,5043
Algar,1428
Algeciras,123078
Algodonales,5506
Arcos de la Frontera,30818
Barbate,22556
"Barrios, Los",23777
Benalup-Casas Viejas,6986
Benaocaz,673
Bornos,7654
"Bosque, El",2137
Cadiz,115439
Castellar de la Frontera,3057
Chiclana de la Frontera,85150
Chipiona,19246
Conil de la Frontera,22775
Espera,3869
"Gastor, El",1729
Grazalema,2013
Jerez de la Frontera,213105
Jimena de la Frontera,6707
"Linea de la Concepcion, La",63630
Medina Sidonia,11773
Olvera,8062
Paterna de Rivera,5453
Prado del Rey,5590
"Puerto de Santa Maria, El",88703
Puerto Real,41700
Puerto Serrano,6942
Rota,29282
San Fernando,95001
San Jose del Valle,4433
San Martin del Tesorillo,2801
San Roque,31571
Sanlucar de Barrameda,69205
Setenil de las Bodegas,2741
Tarifa,18183
Torre Alhaquime,796
Trebujena,7016
Ubrique,16605
Vejer de la Frontera,12622
Villaluenga del Rosario,455
Villamartin,12134
Zahara,1379
Alfoz de Lloredo,2394
Ampuero,4319
Anievas,274
Arenas de Iguña,1665
Argoños,1788
Arnuero,2106
Arredondo,452
"Astillero, El",18134
Barcena de Cicero,4319
Barcena de Pie de Concha,672
Bareyo,1994
Cabezon de la Sal,8358
Cabezon de Liebana,604
Cabuerniga,965
Camaleño,930
Camargo,30320
Campoo de Enmedio,3696
Campoo de Yuso,670
Cartes,5731
Castañeda,2968
Castro-Urdiales,32270
Cieza,534
Cillorigo de Liebana,1299
Colindres,8598
Comillas,2124
"Corrales de Buelna, Los",10767
Corvera de Toranzo,2042
Entrambasaguas,5260
Escalante,781
Guriezo,2330
Hazas de Cesto,1580
Hermandad de Campoo de Suso,1588
Herrerias,587
Lamason,269
Laredo,11023
Liendo,1196
Lierganes,2407
Limpias,1928
Luena,600
Marina de Cudeyo,5106
Mazcuerras,2093
Medio Cudeyo,7577
Meruelo,2086
Miengo,4891
Miera,381
Molledo,1507
Noja,2588
Penagos,2142
Peñarrubia,319
Pesaguero,295
Pesquera,79
Pielagos,25731
Polaciones,221
Polanco,5942
Potes,1332
Puente Viesgo,2845
Ramales de la Victoria,2877
Rasines,955
Reinosa,8946
Reocin,8399
Ribamontan al Mar,4478
Ribamontan al Monte,2303
Rionansa,1029
Riotuerto,1611
"Rozas de Valdearroyo, Las",247
Ruente,1011
Ruesga,836
Ruiloba,722
San Felices de Buelna,2367
San Miguel de Aguayo,145
San Pedro del Romeral,474
San Roque de Riomiera,345
San Vicente de la Barquera,4095
Santa Cruz de Bezana,13088
Santa Maria de Cayon,9167
Santander,173375
Santillana del Mar,4229
Santiurde de Reinosa,255
Santiurde de Toranzo,1646
Santoña,11019
Saro,516
Selaya,1873
Soba,1155
Solorzano,1046
Suances,8827
"Tojos, Los",387
Torrelavega,51597
Tresviso,59
Tudanca,135
Udias,928
Val de San Vicente,2758
Valdaliga,2150
Valdeolea,939
Valdeprado del Rio,325
Valderredible,950
Valle de Villaverde,274
Vega de Liebana,719
Vega de Pas,746
Villacarriedo,1612
Villaescusa,3933
Villafufre,994
Voto,2686
Ain,123
Albocàsser,1227
Alcalà de Xivert,6638
"Alcora, l'",10417
Alcudia de Veo,188
Alfondeguilla,862
Algimia de Almonacid,262
Almassora,26742
Almedijar,244
Almenara,6090
"Alqueries, les/Alquerias del Niño Perdido",4464
Altura,3601
Arañuel,151
Ares del Maestrat,184
Argelita,126
Artana,1955
Atzeneta del Maestrat,1304
Ayodar,153
Azuebar,310
Barracas,168
Bejis,371
Benafer,164
Benafigos,138
Benassal,1063
Benicarlo,27363
Benicasim/Benicàssim,18364
Benlloc,1048
Betxi,5618
Borriana/Burriana,35052
Borriol,5397
Cabanes,2978
Càlig,1961
Canet lo Roig,676
Castell de Cabres,22
Castellfort,179
Castellnovo,918
Castello de la Plana,174264
Castillo de Villamalefa,101
Cati,714
Caudiel,659
Cervera del Maestre,557
Chilches/Xilxes,2714
Chodos/Xodos,106
Chovar,288
Cinctorres,400
Cirat,206
Cortes de Arenoso,300
Costur,518
"Coves de Vinromà, les",1806
Culla,481
Eslida,725
Espadilla,69
Fanzara,273
Figueroles,523
Forcall,456
Fuente la Reina,51
Fuentes de Ayodar,89
Gaibiel,181
Geldo,633
Herbes,44
Higueras,48
"Jana, la",676
Jerica,1559
"Llosa, la",982
Llucena/Lucena del Cid,1315
Ludiente,149
"Mata de Morella, la",160
Matet,83
Moncofa,6707
Montan,368
Montanejos,564
Morella,2416
Navajas,720
Nules,13236
Olocau del Rey,120
Onda,24980
Oropesa del Mar/Orpesa,9339
Palanques,34
Pavias,68
Peniscola/Peñiscola,7683
Pina de Montalgrao,110
"Pobla de Benifassà, la",199
"Pobla Tornesa, la",1212
Portell de Morella,188
Puebla de Arenoso,152
Ribesalbes,1163
Rossell,912
Sacañet,62
"Salzadella, la",700
San Rafael del Rio,466
Sant Joan de Moro,3232
Sant Jordi/San Jorge,990
Sant Mateu,1952
Santa Magdalena de Pulpis,754
Segorbe,9097
"Serratella, la",95
Sierra Engarceran,988
Soneja,1456
Sot de Ferrer,409
Sueras/Suera,524
Tales,801
Teresa,247
Tirig,420
Todolella,141
Toga,96
Toras,232
"Toro, El",241
Torralba del Pinar,61
"Torre d'En Besora, la",167
"Torre d'en Domenec, la",162
Torreblanca,5574
Torrechiva,89
Traiguera,1367
"Useras/Useres, les",959
Vall d'Alba,2856
Vall de Almonacid,263
"Vall d'Uixo, la",31681
Vallat,51
Vallibona,66
Vilafames,1829
Vilafranca/Villafranca del Cid,2197
Vilanova d'Alcolea,569
Vilar de Canes,169
Vila-real,51293
"Vilavella, la",3125
Villahermosa del Rio,484
Villamalur,102
Villanueva de Viver,60
Villores,42
Vinaròs,28833
Vistabella del Maestrat,333
Viver,1572
Xert,688
Zorita del Maestrazgo,111
Zucaina,162
Ceuta,84202
Abenojar,1351
Agudo,1657
Alamillo,476
Albaladejo,1108
Alcazar de San Juan,30766
Alcoba,542
Alcolea de Calatrava,1387
Alcubillas,461
Aldea del Rey,1631
Alhambra,1005
Almaden,5200
Almadenejos,405
Almagro,8905
Almedina,500
Almodovar del Campo,5983
Almuradiel,761
Anchuras,295
Arenales de San Gregorio,588
Arenas de San Juan,1011
Argamasilla de Alba,6955
Argamasilla de Calatrava,5841
Arroba de los Montes,421
Ballesteros de Calatrava,376
Bolaños de Calatrava,12019
Brazatortas,995
Cabezarados,312
Cabezarrubias del Puerto,473
Calzada de Calatrava,3630
Campo de Criptana,13312
Cañada de Calatrava,100
Caracuel de Calatrava,122
Carrion de Calatrava,3099
Carrizosa,1188
Castellar de Santiago,1862
Chillon,1790
Ciudad Real,75504
Corral de Calatrava,1117
"Cortijos, Los",877
Cozar,952
Daimiel,17916
Fernan Caballero,985
Fontanarejo,253
Fuencaliente,1024
Fuenllana,211
Fuente el Fresno,3208
Granatula de Calatrava,717
Guadalmez,697
Herencia,8456
Hinojosas de Calatrava,522
Horcajo de los Montes,833
"Labores, Las",558
Llanos del Caudillo,683
Luciana,364
Malagon,7881
Manzanares,17962
Membrilla,5942
Mestanza,669
Miguelturra,15498
Montiel,1294
Moral de Calatrava,5208
Navalpino,221
Navas de Estena,293
Pedro Muñoz,7285
Picon,668
Piedrabuena,4379
Poblete,2667
Porzuna,3465
Pozuelo de Calatrava,3586
"Pozuelos de Calatrava, Los",359
Puebla de Don Rodrigo,1162
Puebla del Principe,686
Puerto Lapice,891
Puertollano,46607
Retuerta del Bullaque,927
"Robledo, El",1053
Ruidera,549
Saceruela,564
San Carlos del Valle,1109
San Lorenzo de Calatrava,207
Santa Cruz de los Cañamos,515
Santa Cruz de Mudela,4085
Socuellamos,12079
Solana del Pino,314
"Solana, La",15419
Terrinches,653
Tomelloso,36168
Torralba de Calatrava,2966
Torre de Juan Abad,1000
Torrenueva,2667
Valdemanco del Esteras,168
Valdepeñas,30252
Valenzuela de Calatrava,674
Villahermosa,1790
Villamanrique,1128
Villamayor de Calatrava,620
Villanueva de la Fuente,2033
Villanueva de los Infantes,4869
Villanueva de San Carlos,291
Villar del Pozo,61
Villarrubia de los Ojos,9762
Villarta de San Juan,2739
Viso del Marques,2256
Adamuz,4137
Aguilar de la Frontera,13382
Alcaracejos,1470
Almedinilla,2370
Almodovar del Rio,7932
Añora,1530
Baena,19045
Belalcazar,3235
Belmez,2921
Benameji,4963
"Blazquez, Los",664
Bujalance,7320
Cabra,20347
Cañete de las Torres,2923
Carcabuey,2371
Cardeña,1471
"Carlota, La",14079
"Carpio, El",4363
Castro del Rio,7767
Conquista,366
Cordoba,326039
Doña Mencia,4615
Dos Torres,2394
Encinas Reales,2254
Espejo,3289
Espiel,2405
Fernan-Nuñez,9651
Fuente Carreteros,1148
Fuente la Lancha,342
Fuente Obejuna,4501
Fuente Palmera,9766
Fuente-Tojar,666
"Granjuela, La",439
Guadalcazar,1559
"Guijarrosa, La",1379
"Guijo, El",352
Hinojosa del Duque,6707
Hornachuelos,4480
Iznajar,4134
Lucena,42733
Luque,2976
Montalban de Cordoba,4467
Montemayor,3856
Montilla,22739
Montoro,9293
Monturque,1943
Moriles,3701
Nueva Carteya,5341
Obejo,2008
Palenciana,1465
Palma del Rio,20928
Pedro Abad,2815
Pedroche,1482
Peñarroya-Pueblonuevo,10561
Posadas,7318
Pozoblanco,17204
Priego de Cordoba,22367
Puente Genil,29943
"Rambla, La",7529
Rute,9898
San Sebastian de los Ballesteros,804
Santa Eufemia,743
Santaella,4614
Torrecampo,1040
Valenzuela,1118
Valsequillo,348
"Victoria, La",2289
Villa del Rio,7067
Villafranca de Cordoba,4860
Villaharta,621
Villanueva de Cordoba,8671
Villanueva del Duque,1448
Villanueva del Rey,1015
Villaralto,1118
Villaviciosa de Cordoba,3200
"Viso, El",2517
Zuheros,635
Abegondo,5398
Ames,32104
Aranga,1834
Ares,5829
Arteixo,32738
Arzua,6011
"Baña, A",3415
Bergondo,6661
Betanzos,13053
Boimorto,1959
Boiro,18884
Boqueixon,4206
Brion,7923
Cabana de Bergantiños,4216
Cabanas,3274
Camariñas,5209
Cambre,24594
"Capela, A",1221
Carballo,31429
Cariño,3775
Carnota,3899
Carral,6473
Cedeira,6676
Cee,7550
Cerceda,5008
Cerdido,1087
Coiros,1853
Corcubion,1590
Coristanco,5950
"Coruña, A",247604
Culleredo,30685
Curtis,4053
Dodro,2750
Dumbria,2935
Fene,12868
Ferrol,65560
Fisterra,4697
Frades,2302
Irixoa,1340
"Laracha, A",11406
Laxe,2990
Lousame,3268
Malpica de Bergantiños,5352
Mañon,1319
Mazaricos,3841
Melide,7419
Mesia,2497
Miño,6277
Moeche,1186
Monfero,1907
Mugardos,5215
Muros,8427
Muxia,4596
Naron,39056
Neda,5023
Negreira,6788
Noia,14274
Oleiros,36534
Ordes,12625
Oroso,7533
Ortigueira,5633
Outes,6155
Oza-Cesuras,5096
Paderne,2383
Padron,8366
"Pino, O",4652
"Pobra do Caramiñal, A",9318
Ponteceso,5497
Pontedeume,7753
"Pontes de Garcia Rodriguez, As",10068
Porto do Son,9142
Rianxo,11013
Ribeira,26848
Rois,4505
Sada,16186
San Sadurniño,2784
Santa Comba,9362
Santiago de Compostela,97848
Santiso,1544
Sobrado,1730
"Somozas, As",1083
Teo,18632
Toques,1107
Tordoia,3259
Touro,3516
Trazo,3013
Val do Dubra,3851
Valdoviño,6542
Vedra,5007
Vilarmaior,1209
Vilasantar,1211
Vimianzo,6963
Zas,4393
Abia de la Obispalia,61
"Acebron, El",231
Alarcon,156
Albaladejo del Cuende,245
Albalate de las Nogueras,257
Albendea,125
"Alberca de Zancara, La",1608
Alcala de la Vega,90
Alcantud,48
Alcazar del Rey,142
Alcohujate,26
Alconchel de la Estrella,85
Algarra,24
Aliaguilla,632
"Almarcha, La",378
Almendros,239
Almodovar del Pinar,393
Almonacid del Marquesado,432
Altarejos,188
Arandilla del Arroyo,7
Arcas,1775
Arcos de la Sierra,77
Arguisuelas,136
Arrancacepas,25
Atalaya del Cañavate,98
Barajas de Melo,940
Barchin del Hoyo,95
Bascuñana de San Pedro,23
Beamud,39
Belinchon,352
Belmonte,1870
Belmontejo,154
Beteta,236
Boniches,139
Buciegas,32
Buenache de Alarcon,463
Buenache de la Sierra,105
Buendia,408
Campillo de Altobuey,1265
Campillos-Paravientos,104
Campillos-Sierra,38
Campos del Paraiso,718
Canalejas del Arroyo,177
Cañada del Hoyo,232
Cañada Juncosa,243
Cañamares,457
"Cañavate, El",132
Cañaveras,247
Cañaveruelas,126
Cañete,764
Cañizares,432
Carboneras de Guadazaon,795
Cardenete,486
Carrascosa,67
Carrascosa de Haro,100
Casas de Benitez,823
Casas de Fernando Alonso,1140
Casas de Garcimolina,29
Casas de Guijarro,112
Casas de Haro,827
Casas de los Pinos,435
Casasimarro,3103
Castejon,135
Castillejo de Iniesta,151
Castillejo-Sierra,31
Castillo de Garcimuñoz,131
Castillo-Albarañez,21
Cervera del Llano,218
Chillaron de Cuenca,632
Chumillas,58
"Cierva, La",31
Cuenca,54621
Cueva del Hierro,32
Enguidanos,313
Fresneda de Altarejos,37
Fresneda de la Sierra,51
"Frontera, La",148
Fuente de Pedro Naharro,1215
Fuentelespino de Haro,268
Fuentelespino de Moya,104
Fuentenava de Jabaga,489
Fuentes,458
Fuertescusa,60
Gabaldon,178
Garaballa,55
Gascueña,143
Graja de Campalbo,91
Graja de Iniesta,358
Henarejos,134
"Herrumblar, El",677
"Hinojosa, La",180
"Hinojosos, Los",784
"Hito, El",135
Honrubia,1531
Hontanaya,245
Hontecillas,56
Horcajo de Santiago,3504
Huelamo,87
Huelves,80
Huerguina,51
Huerta de la Obispalia,117
Huerta del Marquesado,183
Huete,1748
Iniesta,4320
Laguna del Marquesado,51
Lagunaseca,66
Landete,1249
Ledaña,1561
Leganiel,186
"Majadas, Las",234
Mariana,298
Masegosa,62
"Mesas, Las",2317
Minglanilla,2198
Mira,886
Monreal del Llano,53
Montalbanejo,99
Montalbo,655
Monteagudo de las Salinas,126
Mota de Altarejos,31
